id	group_uic_code	end_date	member_uic_code	member_crs_code
1	7000390	2026-07-27	7005980	HOH
2	7000390	2026-07-27	7030570	SRU
3	7000390	2026-07-27	7031900	EAL
4	7000390	2026-07-27	7055700	RMD
5	7000390	2026-07-27	7069690	SRA
6	7000390	2999-12-31	7005980	HOH
7	7000390	2999-12-31	7030570	SRU
8	7000390	2999-12-31	7031900	EAL
9	7000390	2999-12-31	7055700	RMD
10	7000390	2999-12-31	7069690	SRA
11	7010720	2999-12-31	7014440	EUS
12	7010720	2999-12-31	7014750	MYB
13	7010720	2999-12-31	7015550	STP
14	7010720	2999-12-31	7030870	PAD
15	7010720	2999-12-31	7051120	BFR
16	7010720	2999-12-31	7051210	CTK
17	7010720	2999-12-31	7051420	CST
18	7010720	2999-12-31	7051430	CHX
19	7010720	2999-12-31	7051480	LBG
20	7010720	2999-12-31	7051580	WAE
21	7010720	2999-12-31	7054260	VIC
22	7010720	2999-12-31	7055970	VXH
23	7010720	2999-12-31	7055980	WAT
24	7010720	2999-12-31	7060030	OLD
25	7010720	2999-12-31	7060050	MOG
26	7010720	2999-12-31	7061210	KGX
27	7010720	2999-12-31	7069650	LST
28	7010720	2999-12-31	7074900	FST
29	70J2230	2999-12-31	7015100	BSJ
30	70J2230	2999-12-31	7015120	BDM
