id	mode	origin	destination	duration	start_time	end_time	priority	start_date	end_date	monday	tuesday	wednesday	thursday	friday	saturday	sunday
1	TRANSFER	AMR	CFO	34	07:00:00	10:45:00	4	2026-09-06	2026-09-06	0	0	0	0	0	0	1
2	TRANSFER	AMR	CLW	38	07:00:00	10:45:00	4	2026-09-06	2026-09-06	0	0	0	0	0	0	1
3	TUBE	AMR	EUS	86	07:00:00	10:45:00	4	2026-09-06	2026-09-06	0	0	0	0	0	0	1
4	TUBE	AMR	PAD	86	07:00:00	10:45:00	4	2026-09-06	2026-09-06	0	0	0	0	0	0	1
5	TRANSFER	AMR	RIC	41	07:00:00	10:45:00	4	2026-09-06	2026-09-06	0	0	0	0	0	0	1
6	TUBE	CFO	EUS	85	07:00:00	10:45:00	4	2026-09-06	2026-09-06	0	0	0	0	0	0	1
7	TUBE	CFO	PAD	85	07:00:00	10:45:00	4	2026-09-06	2026-09-06	0	0	0	0	0	0	1
8	TUBE	CLW	EUS	84	07:00:00	10:45:00	4	2026-09-06	2026-09-06	0	0	0	0	0	0	1
9	TUBE	CLW	PAD	84	07:00:00	10:45:00	4	2026-09-06	2026-09-06	0	0	0	0	0	0	1
10	TRANSFER	EUS	PAD	23	00:01:00	06:59:00	4	\N	\N	0	0	0	0	0	0	1
11	TRANSFER	EUS	PAD	23	00:01:00	06:29:00	4	\N	\N	0	0	0	0	0	1	0
12	TRANSFER	EUS	PAD	23	00:01:00	05:29:00	4	\N	\N	1	1	1	1	1	0	0
13	TUBE	EUS	PAD	18	07:00:00	23:59:00	4	\N	\N	0	0	0	0	0	0	1
14	TUBE	EUS	PAD	18	06:30:00	06:59:00	4	\N	\N	0	0	0	0	0	1	0
15	TUBE	EUS	PAD	18	05:29:00	06:59:00	4	\N	\N	1	1	1	1	1	0	0
16	TUBE	EUS	PAD	13	07:00:00	19:00:00	4	\N	\N	1	1	1	1	1	1	0
17	TUBE	EUS	PAD	18	19:01:00	23:59:00	4	\N	\N	1	1	1	1	1	1	0
18	WALK	FKG	FKK	30	00:01:00	23:59:00	4	\N	\N	0	0	0	0	0	0	1
19	WALK	FKG	FKK	30	00:01:00	23:59:00	4	\N	\N	1	1	1	1	1	1	0
20	BUS	GLC	GLQ	5	10:00:00	20:00:00	4	\N	\N	0	0	0	0	0	0	1
21	BUS	GLC	GLQ	5	09:00:00	20:00:00	4	\N	\N	0	0	0	0	0	1	0
22	BUS	GLC	GLQ	5	08:00:00	20:00:00	4	\N	\N	1	1	1	1	1	0	0
23	WALK	GLC	GLQ	5	00:01:00	09:59:00	4	\N	\N	0	0	0	0	0	0	1
24	WALK	GLC	GLQ	5	20:01:00	23:59:00	4	\N	\N	0	0	0	0	0	0	1
25	WALK	GLC	GLQ	5	00:01:00	08:59:00	4	\N	\N	0	0	0	0	0	1	0
26	WALK	GLC	GLQ	5	00:01:00	07:59:00	4	\N	\N	1	1	1	1	1	0	0
27	WALK	GLC	GLQ	5	20:01:00	23:59:00	4	\N	\N	1	1	1	1	1	1	0
28	TUBE	HHY	EUS	21	07:00:00	23:59:00	4	\N	\N	0	0	0	0	0	0	1
29	TUBE	HHY	EUS	21	06:30:00	06:59:00	4	\N	\N	0	0	0	0	0	1	0
30	TUBE	HHY	EUS	21	05:29:00	06:59:00	4	\N	\N	1	1	1	1	1	0	0
31	TUBE	HHY	EUS	16	07:00:00	19:00:00	4	\N	\N	1	1	1	1	1	1	0
32	TUBE	HHY	EUS	21	19:01:00	23:59:00	4	\N	\N	1	1	1	1	1	1	0
33	TRANSFER	HXX	HWV	17	00:01:00	23:59:00	4	\N	\N	0	0	0	0	0	0	1
34	TRANSFER	HXX	HWV	17	00:01:00	23:59:00	4	\N	\N	1	1	1	1	1	1	0
35	TUBE	RIC	EUS	83	07:00:00	10:45:00	4	2026-09-06	2026-09-06	0	0	0	0	0	0	1
36	TUBE	RIC	PAD	83	07:00:00	10:45:00	4	2026-09-06	2026-09-06	0	0	0	0	0	0	1
37	TRANSFER	SOU	STQ	30	00:01:00	07:45:00	4	\N	\N	0	0	0	0	0	1	1
38	TRANSFER	SOU	STQ	30	00:01:00	07:00:00	4	\N	\N	1	1	1	1	1	0	0
39	TRANSFER	SOU	STQ	30	18:15:00	23:59:00	4	\N	\N	1	1	1	1	1	1	1
