id	base_uid	assoc_uid	start_date	end_date	monday	tuesday	wednesday	thursday	friday	saturday	sunday	assoc_cat	assoc_date_ind	assoc_location	base_location_suffix	assoc_location_suffix	association_type	stp_indicator
1	C04561	C04558	2026-05-18	2026-12-07	1	0	0	0	0	0	0	JJ	S	CRSTRS			P	P
2	C04566	C04547	2026-05-18	2026-12-07	1	0	0	0	0	0	0	JJ	S	EDINBUR		2	P	P
3	C04566	C04551	2026-05-18	2026-12-07	1	0	0	0	0	0	0	JJ	S	EDINBUR			P	P
4	C04569	C04543	2026-05-18	2026-12-07	1	0	0	0	0	0	0	VV	N	EDINBUR			P	P
5	C04569	C04577	2026-05-18	2026-12-07	1	0	0	0	0	0	0	VV	N	EDINBUR			P	P
6	C04561	C04558	2026-08-10	2026-08-10	1	0	0	0	0	0	0	JJ	S	CRSTRS			P	O
7	C04566	C04547	2026-08-10	2026-08-10	1	0	0	0	0	0	0	JJ	S	EDINBUR		2	P	O
8	C04566	C04551	2026-08-10	2026-08-10	1	0	0	0	0	0	0	JJ	S	EDINBUR			P	O
9	C04569	C04543	2026-08-10	2026-08-10	1	0	0	0	0	0	0	VV	N	EDINBUR			P	O
10	C04569	C04577	2026-08-10	2026-08-10	1	0	0	0	0	0	0	VV	N	EDINBUR			P	O
11	C04561	C04558	2026-08-17	2026-08-17	1	0	0	0	0	0	0	JJ	S	CRSTRS			P	O
12	C04566	C04547	2026-08-17	2026-08-17	1	0	0	0	0	0	0	JJ	S	EDINBUR		2	P	O
13	C04566	C04551	2026-08-17	2026-08-17	1	0	0	0	0	0	0	JJ	S	EDINBUR			P	O
14	C04569	C04543	2026-08-17	2026-08-17	1	0	0	0	0	0	0	VV	N	EDINBUR			P	O
15	C04569	C04577	2026-08-17	2026-08-17	1	0	0	0	0	0	0	VV	N	EDINBUR			P	O
16	C04561	C04558	2026-08-24	2026-08-24	1	0	0	0	0	0	0	JJ	S	CRSTRS			P	O
17	C04566	C04547	2026-08-24	2026-08-24	1	0	0	0	0	0	0	JJ	S	EDINBUR		2	P	O
18	C04566	C04551	2026-08-24	2026-08-24	1	0	0	0	0	0	0	JJ	S	EDINBUR			P	O
19	C04569	C04543	2026-08-24	2026-08-24	1	0	0	0	0	0	0	VV	N	EDINBUR			P	O
20	C04569	C04577	2026-08-24	2026-08-24	1	0	0	0	0	0	0	VV	N	EDINBUR			P	O
21	C04561	C04558	2026-08-31	2026-08-31	1	0	0	0	0	0	0	JJ	S	CRSTRS			P	O
22	C04566	C04547	2026-08-31	2026-08-31	1	0	0	0	0	0	0	JJ	S	EDINBUR		2	P	O
23	C04566	C04551	2026-08-31	2026-08-31	1	0	0	0	0	0	0	JJ	S	EDINBUR			P	O
24	C04569	C04543	2026-08-31	2026-08-31	1	0	0	0	0	0	0	VV	N	EDINBUR			P	O
25	C04569	C04577	2026-08-31	2026-08-31	1	0	0	0	0	0	0	VV	N	EDINBUR			P	O
26	C04561	C04558	2026-09-07	2026-09-07	1	0	0	0	0	0	0	JJ	S	CRSTRS			P	O
27	C04566	C04547	2026-09-07	2026-09-07	1	0	0	0	0	0	0	JJ	S	EDINBUR		2	P	O
28	C04566	C04551	2026-09-07	2026-09-07	1	0	0	0	0	0	0	JJ	S	EDINBUR			P	O
29	C04569	C04543	2026-09-07	2026-09-07	1	0	0	0	0	0	0	VV	N	EDINBUR			P	O
30	C04569	C04577	2026-09-07	2026-09-07	1	0	0	0	0	0	0	VV	N	EDINBUR			P	O
31	C04561	C04558	2026-09-14	2026-09-14	1	0	0	0	0	0	0	JJ	S	CRSTRS			P	O
32	C04566	C04547	2026-09-14	2026-09-14	1	0	0	0	0	0	0	JJ	S	EDINBUR		2	P	O
33	C04566	C04551	2026-09-14	2026-09-14	1	0	0	0	0	0	0	JJ	S	EDINBUR			P	O
34	C04569	C04543	2026-09-14	2026-09-14	1	0	0	0	0	0	0	VV	N	EDINBUR			P	O
35	C04569	C04577	2026-09-14	2026-09-14	1	0	0	0	0	0	0	VV	N	EDINBUR			P	O
36	C04561	C04558	2026-09-21	2026-09-21	1	0	0	0	0	0	0	JJ	S	CRSTRS			P	O
37	C04566	C04547	2026-09-21	2026-09-21	1	0	0	0	0	0	0	JJ	S	EDINBUR		2	P	O
38	C04566	C04551	2026-09-21	2026-09-21	1	0	0	0	0	0	0	JJ	S	EDINBUR			P	O
39	C04569	C04543	2026-09-21	2026-09-21	1	0	0	0	0	0	0	VV	N	EDINBUR			P	O
40	C04569	C04577	2026-09-21	2026-09-21	1	0	0	0	0	0	0	VV	N	EDINBUR			P	O
41	C04561	C04558	2026-10-05	2026-10-05	1	0	0	0	0	0	0	JJ	S	CRSTRS			P	O
42	C04566	C04547	2026-10-05	2026-10-05	1	0	0	0	0	0	0	JJ	S	EDINBUR		2	P	O
43	C04566	C04551	2026-10-05	2026-10-05	1	0	0	0	0	0	0	JJ	S	EDINBUR			P	O
