id	station_name	cate_interchange_status	tiploc_code	crs_reference_code	crs_code	easting	northing	minimum_change_time
1	ABERDEEN	2	ABRDEEN	ABD	ABD	13942	68058	5
2	ACTON BRIDGE	0	ACBG	ACB	ACB	13599	63745	5
3	AIRDRIE	1	AIRDRIE	ADR	ADR	12760	66652	5
4	AMERSHAM	1	AMERSHM	AMR	AMR	14964	61981	1
5	ANNIESLAND	1	ANSL	ANL	ANL	12549	66687	5
6	ARBROATH	1	ARBROTH	ARB	ARB	13639	67410	5
7	ARDLUI	0	ARDLUI	AUI	AUI	12317	67155	5
8	ARDRAHAN    (CIE	0	CATZ	XAG	XAG	\N	\N	5
9	ARROCHAR & TARBET	0	ARCHRAT	ART	ART	12312	67046	5
10	ASTON	1	ASTON	AST	AST	14088	62897	5
11	AVIEMORE	1	AVIEMRE	AVM	AVM	12896	68124	5
12	BATH SPA	2	BATHSPA	BTH	BTH	13753	61644	7
13	BATHGATE	1	BTHGATE	BHG	BHG	12978	66683	5
14	BEDWYN	1	BEDYN	BDW	BDW	14280	61646	5
15	BELLGROVE	1	BLGRVE	BLG	BLG	12608	66649	5
16	BERKSWELL	0	BKSWELL	BKW	BKW	14244	62776	5
17	BESCOT STADIUM	0	BSCTSTA	BSC	BSC	14007	62961	5
18	BIRMINGHAM INTERNATIONAL	3	BHAMINT	BHI	BHI	14188	62838	5
19	BISHOPBRIGGS	0	BSHB	BBG	BBG	12610	66701	5
20	BLAIR ATHOLL	0	BLARATH	BLA	BLA	12870	67653	5
21	BLETCHLEY	2	BLTCHLY	BLY	BLY	14868	62337	5
22	BODMIN PARKWAY	1	BODMNPW	BOD	BOD	12110	60640	5
23	BRIDGE OF ORCHY	0	BOORCHY	BRO	BRO	12300	67394	5
24	BRIDGWATER	2	BRDGWTR	BWT	BWT	13308	61370	5
25	BRISTOL TEMPLE MEADS	2	BRSTLTM	BRI	BRI	13597	61724	10
26	BRISTOL TEMPLE MEADS	9	NSMRSTJ	BRI	BRI	13599	61724	10
27	BROCKLEY WHINS	0	BRWHINS	BNR	BNR	14345	65628	5
28	BROUGHTY FERRY	0	BRFRY	BYF	BYF	13463	67309	5
29	BURNTISLAND	0	BISLND	BTS	BTS	13233	66856	5
30	CAMBORNE	0	CBORNE	CBN	CBN	11648	60397	5
31	CAMELON	9	CRMRSEJ	CMO	CMO	12868	66808	3
32	CANADA WATER	1	CNDAW	ZCW	ZCW	15354	61795	5
33	CANONBURY	9	CNNBELL	CNN	CNN	15324	61850	5
34	CARLISLE	3	CARLILE	CAR	CAR	13402	65555	8
35	CARNOUSTIE	1	CNST	CAN	CAN	13566	67345	5
36	CARRBRIDGE	0	CARRBDG	CAG	CAG	12898	68225	5
37	CARSTAIRS	3	CRSTRS	CRS	CRS	12952	66454	5
38	CARSTAIRS	9	CRSTRSS	CRS	CRS	12952	66454	5
39	CASTLE CARY	2	CCARY	CLC	CLC	13635	61335	5
40	CHALFONT & LATIMER UND	1	CHLFNAL	CFO	CFO	14997	61976	5
41	CHIPPENHAM	1	CHIPNHM	CPM	CPM	13921	61737	5
42	CHORLEYWOOD UND	0	CHRW	CLW	CLW	15026	61961	5
43	COATBRIDGE SUNNYSIDE	0	COATBDS	CBS	CBS	12732	66656	5
44	CORROUR	0	CORROUR	CRR	CRR	12356	67664	5
45	COVENTRY	2	COVNTRY	COV	COV	14332	62782	5
46	COWDENBEATH	0	CWDNBTH	COW	COW	13165	66918	5
47	COWES WEST RDJET	0	COWESW	WTW	WTW	14497	60961	5
48	CREWE	3	CREWE	CRE	CRE	13711	63548	10
49	CRIANLARICH	1	CRNLRCH	CNR	CNR	12385	67250	5
50	CROY	1	CROY	CRO	CRO	12730	66755	3
51	CUMBRAE	0	CUMBRAE	CUL	CUL	12180	66580	5
52	CUPAR	0	CUPAR	CUP	CUP	13377	67143	5
53	DALMENY	9	DLMYJN	DAM	DAM	13139	66779	5
54	DALMUIR	1	DALMUIR	DMR	DMR	12484	66714	5
55	DALREOCH	1	DLREOCH	DLR	DLR	12391	66757	5
56	DALSTON JUNCTION	1	DALS	DLJ	DLJ	15335	61846	5
57	DALWHINNIE	0	DALWHIN	DLW	DLW	12634	67848	5
58	DAWLISH	0	DAWLISH	DWL	DWL	12964	60767	5
59	DAWLISH WARREN	0	DAWLSHW	DWW	DWW	12979	60787	5
60	DERBY	2	DRBY	DBY	DBY	14362	63356	6
61	DIDCOT PARKWAY	2	DIDCOTP	DID	DID	14525	61905	5
62	DIDCOT PARKWAY	9	DIDCTEJ	DID	DID	14525	61908	5
63	DUFFIELD	1	DUFIELD	DFI	DFI	14346	63435	5
64	DUMBARTON CENTRAL	1	DMBRTNC	DBC	DBC	12398	66756	5
65	DUNBLANE	1	DUNANE	DBL	DBL	12780	67010	5
66	DUNDEE	2	DUNDETB	DEE	DEE	13392	67294	5
67	DUNFERMLINE CITY	1	DNFRMLE	DFE	DFE	13097	66871	5
68	DUNKELD & BIRNAM	0	DUNKELD	DKD	DKD	13031	67417	5
69	EALING BROADWAY	9	ACTONW	EAL	EAL	15180	61809	1
70	EAST BOLDON	0	EBOLDON	EBL	EBL	14372	65615	5
71	East Mids Airport via DBY	1	EMPKAIR	EMA	EMA	14452	63259	5
72	EDINBURGH	3	EDINBUR	EDB	EDB	13259	66739	10
73	EXETER ST DAVIDS	2	EXETRSD	EXD	EXD	12911	60933	6
74	FALKIRK GRAHAMSTON	2	FALKRKG	FKG	FKG	12887	66803	4
75	FALKIRK HIGH	1	FALKRKH	FKK	FKK	12883	66791	3
76	FELLGATE METRO	0	FELL	FEG	FEG	14329	65626	5
77	FORT WILLIAM	1	FRTWLM	FTW	FTW	12105	67742	5
78	GARELOCHHEAD	0	GRLCHHD	GCH	GCH	12242	66910	5
79	GLASGOW CENTRAL	3	GLGC	GLC	GLC	12587	66653	15
80	GLASGOW QS LL	9	GLGQLL	GQL	GLQ	12592	66655	10
81	GLENEAGLES	0	GLNEGLS	GLE	GLE	12929	67105	5
82	GLENROTHES WITH THORNTON	1	GLNRTHS	GLT	GLT	13291	66972	5
83	GORING & STREATLEY	0	GORASTR	GOR	GOR	14602	61806	5
84	HAGGERSTON	0	HAGGERS	HGG	HGG	15335	61840	5
85	HARROW & WEALDSTONE	2	HROW	HRW	HRW	15155	61894	5
86	HAYMARKET	2	HAYMRKT	HYM	HYM	13240	66732	5
87	HEATHROW TERMINAL 5	0	HTRWTM5	HWV	HWV	15051	61758	5
88	HEATHROW TERMINALS 2 & 3	1	HTRWAPT	HXX	HXX	15077	61760	2
89	HELENSBURGH UPPER	0	HLNSBRU	HLU	HLU	12298	66834	5
90	HEWORTH (METRO)	9	HEWOMTR	HEZ	HEW	14286	65620	5
91	HIGHBURY & ISLINGTON NLL	9	HIGHBYE	HII	HHY	15316	61847	5
92	HOXTON	0	HOXTON	HOX	HOX	15335	61832	5
93	HUNGERFORD	1	HUNGRFD	HGD	HGD	14341	61686	5
94	IDRIDGEHAY	0	CATZ008	XID	XID	14290	63487	5
95	INVERKEITHING	2	IVRKTHG	INK	INK	13131	66833	5
96	INVERNESS	1	IVRNESS	INV	INV	12668	68455	5
97	IVYBRIDGE	0	IVYBDGE	IVY	IVY	12630	60567	5
98	KINGUSSIE	1	KGUSSIE	KIN	KIN	12757	68004	5
99	KIRKCALDY	1	KCLD	KDY	KDY	13275	66917	5
100	LADYBANK	1	LADYBNK	LDY	LDY	13306	67096	5
101	LANCASTER	3	LANCSTR	LAN	LAN	13472	64617	6
102	LARGS	1	LARGS	LAR	LAR	12203	66592	15
103	LAURENCEKIRK	0	LRNCKRK	LAU	LAU	13709	67709	5
104	LENZIE	1	LENZIE	LNZ	LNZ	12655	66719	3
105	LEUCHARS	1	LEUCHRS	LEU	LEU	13449	67207	5
