id	train_uid	runs_from	runs_to	monday	tuesday	wednesday	thursday	friday	saturday	sunday	bank_holiday_running	train_status	train_category	train_identity	headcode	course_indicator	profit_center	business_sector	power_type	timing_load	speed	operating_chars	train_class	sleepers	reservations	connect_indicator	catering_code	service_branding	stp_indicator
1	C00049	2026-05-17	2026-12-06	0	0	0	0	0	0	1	1	P	XX	1Y94	0202	1	25905000	\N	EMU	387	110	D	B	\N	S	\N	\N	\N	P
2	C00072	2026-05-17	2026-12-06	0	0	0	0	0	0	1	1	P	OO	9I89	\N	1	22215003	\N	EMU	378	075	D	S	\N	\N	\N	\N	\N	P
3	C02271	2026-05-17	2026-12-06	0	0	0	0	0	0	1	1	B	BS	0B00	\N	1	12325021	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	P
4	C02507	2026-05-17	2026-09-13	0	0	0	0	0	0	1	1	P	XX	1A16	4818	1	25370002	\N	EMU	387	110	\N	S	\N	R	\N	\N	\N	P
5	C02507	2026-05-17	2026-08-09	0	0	0	0	0	0	1	1	\N	\N	\N	\N	1	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	C
6	C04856	2026-05-17	2026-10-18	0	0	0	0	0	0	1	1	S	\N	0S00	\N	1	13571015	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	P
7	C55452	2026-05-17	2026-12-06	0	0	0	0	0	0	1	1	P	OL	2I01	\N	1	11798001	\N	EMU	\N	050	\N	\N	\N	\N	\N	\N	\N	P
8	W34546	2026-05-17	2026-12-06	0	0	0	0	0	0	1	1	P	XZ	1A50	1276	1	25396002	\N	D	350	075	\N	S	S	A	\N	C	\N	P
9	C04547	2026-05-18	2026-12-07	1	0	0	0	0	0	0	1	P	XZ	1B01	0002	1	23570004	4	D	210	090	R	S	B	A	\N	R	\N	P
10	C04551	2026-05-18	2026-12-07	1	0	0	0	0	0	0	1	P	XZ	1B16	0002	1	23559004	2	D	350	125	R	S	B	A	\N	R	\N	P
11	C04558	2026-05-18	2026-12-07	1	0	0	0	0	0	0	1	P	XZ	1C11	0004	1	23557004	2	E	92	080	R	S	B	A	\N	R	\N	P
12	C04561	2026-05-18	2026-12-07	1	0	0	0	0	0	0	1	P	XZ	1M11	0004	1	23556003	1	E	92	080	R	S	B	A	\N	R	\N	P
13	C04566	2026-05-18	2026-12-07	1	0	0	0	0	0	0	1	P	XZ	1M16	0002	1	23558003	1	D	385	125	R	S	B	A	\N	R	\N	P
14	C04569	2026-05-18	2026-12-07	1	0	0	0	0	0	0	1	P	XZ	1S25	0001	1	23558003	1	E	92	080	R	S	B	A	\N	R	\N	P
15	C04543	2026-05-19	2026-12-08	0	1	0	0	0	0	0	1	P	XZ	1A25	0001	1	23559003	2	D	350	125	R	S	B	A	\N	R	\N	P
16	C04577	2026-05-19	2026-12-08	0	1	0	0	0	0	0	1	P	XZ	1Y11	0001	1	23570003	4	D	210	090	R	S	B	A	\N	R	\N	P
17	C00070	2026-05-23	2026-12-12	0	0	0	0	0	1	0	1	P	OO	9I87	\N	1	22215003	\N	EMU	378	075	D	S	\N	\N	\N	\N	\N	P
18	C04543	2026-08-04	2026-08-04	0	1	0	0	0	0	0	1	P	XZ	1A25	0001	1	23559003	2	D	350	125	R	S	B	A	\N	R	\N	O
19	C04577	2026-08-04	2026-08-04	0	1	0	0	0	0	0	1	P	XZ	1Y11	0001	1	23570003	4	D	210	090	R	S	B	A	\N	R	\N	O
20	C00049	2026-08-09	2026-08-09	0	0	0	0	0	0	1	1	P	XX	1Y94	0202	1	25905000	\N	EMU	387	110	D	B	\N	S	\N	\N	\N	O
21	W34546	2026-08-09	2026-08-09	0	0	0	0	0	0	1	1	P	XZ	1A50	1276	1	25396002	\N	D	350	075	\N	S	S	A	\N	C	\N	O
22	C04547	2026-08-10	2026-08-10	1	0	0	0	0	0	0	1	P	XZ	1B01	0002	1	23570004	4	D	210	090	R	S	B	A	\N	R	\N	O
23	C04551	2026-08-10	2026-08-10	1	0	0	0	0	0	0	1	P	XZ	1B16	0002	1	23559004	2	D	350	125	R	S	B	A	\N	R	\N	O
24	C04558	2026-08-10	2026-08-10	1	0	0	0	0	0	0	1	P	XZ	1C11	0004	1	23557004	2	E	92	080	R	S	B	A	\N	R	\N	O
25	C04561	2026-08-10	2026-08-10	1	0	0	0	0	0	0	1	P	XZ	1M11	0004	1	23556003	1	E	92	080	R	S	B	A	\N	R	\N	O
26	C04566	2026-08-10	2026-08-10	1	0	0	0	0	0	0	1	P	XZ	1M16	0002	1	23558003	1	D	385	125	R	S	B	A	\N	R	\N	O
27	C04569	2026-08-10	2026-08-10	1	0	0	0	0	0	0	1	P	XZ	1S25	0001	1	23558003	1	E	92	080	R	S	B	A	\N	R	\N	O
28	C04543	2026-08-11	2026-08-11	0	1	0	0	0	0	0	1	P	XZ	1A25	0001	1	23559003	2	D	350	125	R	S	B	A	\N	R	\N	O
29	C04577	2026-08-11	2026-08-11	0	1	0	0	0	0	0	1	P	XZ	1Y11	0001	1	23570003	4	D	210	090	R	S	B	A	\N	R	\N	O
30	C00049	2026-08-16	2026-08-16	0	0	0	0	0	0	1	1	P	XX	1Y94	0202	1	25905000	\N	EMU	387	110	D	B	\N	S	\N	\N	\N	O
31	W34546	2026-08-16	2026-08-23	0	0	0	0	0	0	1	1	\N	\N	\N	\N	1	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	C
32	C04547	2026-08-17	2026-08-17	1	0	0	0	0	0	0	1	P	XZ	1B01	0002	1	23570004	4	D	210	090	R	S	B	A	\N	R	\N	O
33	C04551	2026-08-17	2026-08-17	1	0	0	0	0	0	0	1	P	XZ	1B16	0002	1	23559004	2	D	350	125	R	S	B	A	\N	R	\N	O
34	C04558	2026-08-17	2026-08-17	1	0	0	0	0	0	0	1	P	XZ	1C11	0004	1	23557004	2	E	92	080	R	S	B	A	\N	R	\N	O
35	C04561	2026-08-17	2026-08-17	1	0	0	0	0	0	0	1	P	XZ	1M11	0004	1	23556003	1	E	92	080	R	S	B	A	\N	R	\N	O
36	C04566	2026-08-17	2026-08-17	1	0	0	0	0	0	0	1	P	XZ	1M16	0002	1	23558003	1	D	385	125	R	S	B	A	\N	R	\N	O
37	C04569	2026-08-17	2026-08-17	1	0	0	0	0	0	0	1	P	XZ	1S25	0001	1	23558003	1	E	92	080	R	S	B	A	\N	R	\N	O
38	C04543	2026-08-18	2026-08-18	0	1	0	0	0	0	0	1	P	XZ	1A25	0001	1	23559003	2	D	350	125	R	S	B	A	\N	R	\N	O
39	C04577	2026-08-18	2026-08-18	0	1	0	0	0	0	0	1	P	XZ	1Y11	0001	1	23570003	4	D	210	090	R	S	B	A	\N	R	\N	O
40	C00049	2026-08-23	2026-08-23	0	0	0	0	0	0	1	1	P	XX	1Y94	0202	1	25905000	\N	EMU	387	110	D	B	\N	S	\N	\N	\N	O
41	C04547	2026-08-24	2026-08-24	1	0	0	0	0	0	0	1	P	XZ	1B01	0002	1	23570004	4	D	210	090	R	S	B	A	\N	R	\N	O
42	C04551	2026-08-24	2026-08-24	1	0	0	0	0	0	0	1	P	XZ	1B16	0002	1	23559004	2	D	350	125	R	S	B	A	\N	R	\N	O
43	C04558	2026-08-24	2026-08-24	1	0	0	0	0	0	0	1	P	XZ	1C11	0004	1	23557004	2	E	92	080	R	S	B	A	\N	R	\N	O
