id	schedule	traction_class	uic_code	atoc_code	applicable_timetable_code	retail_train_id	source
1	1	\N	\N	HX	Y	HX020200	\N
2	2	\N	\N	LO	Y	LO048300	\N
3	3	\N	\N	EM	Y	EM700000	\N
4	4	\N	\N	GW	Y	GW481800	\N
5	6	\N	\N	QC	Y	QC000100	\N
6	7	\N	\N	TW	Y	TW000000	\N
7	8	\N	\N	GW	Y	GW127600	\N
8	9	\N	\N	CS	Y	CS000204	\N
9	10	\N	\N	CS	Y	CS000202	\N
10	11	\N	\N	CS	Y	CS000402	\N
11	12	\N	\N	CS	Y	CS000401	\N
12	13	\N	\N	CS	Y	CS000201	\N
13	14	\N	\N	CS	Y	CS000107	\N
14	15	\N	\N	CS	Y	CS000102	\N
15	16	\N	\N	CS	Y	CS000104	\N
16	17	\N	\N	LO	Y	LO457200	\N
17	18	\N	\N	CS	Y	CS000102	\N
18	19	\N	\N	CS	Y	CS000104	\N
19	20	\N	\N	HX	Y	HX020200	\N
20	21	\N	\N	GW	Y	GW127600	\N
21	22	\N	\N	CS	Y	CS000204	\N
22	23	\N	\N	CS	Y	CS000202	\N
23	24	\N	\N	CS	Y	CS000402	\N
24	25	\N	\N	CS	Y	CS000401	\N
25	26	\N	\N	CS	Y	CS000201	\N
26	27	\N	\N	CS	Y	CS000107	\N
27	28	\N	\N	CS	Y	CS000102	\N
28	29	\N	\N	CS	Y	CS000104	\N
29	30	\N	\N	HX	Y	HX020200	\N
30	32	\N	\N	CS	Y	CS000204	\N
31	33	\N	\N	CS	Y	CS000202	\N
32	34	\N	\N	CS	Y	CS000402	\N
33	35	\N	\N	CS	Y	CS000401	\N
34	36	\N	\N	CS	Y	CS000201	\N
35	37	\N	\N	CS	Y	CS000107	\N
36	38	\N	\N	CS	Y	CS000102	\N
37	39	\N	\N	CS	Y	CS000104	\N
38	40	\N	\N	HX	Y	HX020200	\N
39	41	\N	\N	CS	Y	CS000204	\N
40	42	\N	\N	CS	Y	CS000202	\N
41	43	\N	\N	CS	Y	CS000402	\N
42	44	\N	\N	CS	Y	CS000401	\N
43	45	\N	\N	CS	Y	CS000201	\N
44	46	\N	\N	CS	Y	CS000107	\N
45	47	\N	\N	CS	Y	CS000102	\N
46	48	\N	\N	CS	Y	CS000104	\N
47	49	\N	\N	HX	Y	HX020200	\N
48	50	\N	\N	GW	Y	GW127600	\N
49	51	\N	\N	CS	Y	CS000204	\N
50	52	\N	\N	CS	Y	CS000202	\N
51	53	\N	\N	CS	Y	CS000402	\N
52	54	\N	\N	CS	Y	CS000401	\N
53	55	\N	\N	CS	Y	CS000201	\N
54	56	\N	\N	CS	Y	CS000107	\N
55	57	\N	\N	CS	Y	CS000102	\N
56	58	\N	\N	CS	Y	CS000104	\N
57	59	\N	\N	GW	Y	GW481800	\N
58	60	\N	\N	CS	Y	CS000204	\N
59	61	\N	\N	CS	Y	CS000202	\N
60	62	\N	\N	CS	Y	CS000402	\N
61	63	\N	\N	CS	Y	CS000401	\N
62	64	\N	\N	CS	Y	CS000201	\N
63	65	\N	\N	CS	Y	CS000107	\N
64	66	\N	\N	CS	Y	CS000102	\N
65	67	\N	\N	CS	Y	CS000104	\N
66	68	\N	\N	HX	Y	HX020200	\N
67	69	\N	\N	GW	Y	GW481800	\N
68	71	\N	\N	GW	Y	GW127600	\N
69	72	\N	\N	CS	Y	CS000204	\N
70	73	\N	\N	CS	Y	CS000202	\N
71	74	\N	\N	CS	Y	CS000402	\N
72	75	\N	\N	CS	Y	CS000401	\N
73	76	\N	\N	CS	Y	CS000201	\N
74	77	\N	\N	CS	Y	CS000107	\N
75	78	\N	\N	CS	Y	CS000102	\N
76	79	\N	\N	CS	Y	CS000104	\N
77	80	\N	\N	GW	Y	GW127600	\N
78	81	\N	\N	CS	Y	CS000204	\N
79	82	\N	\N	CS	Y	CS000202	\N
80	83	\N	\N	CS	Y	CS000402	\N
81	84	\N	\N	CS	Y	CS000401	\N
82	85	\N	\N	CS	Y	CS000201	\N
83	86	\N	\N	CS	Y	CS000107	\N
84	87	\N	\N	CS	Y	CS000102	\N
85	88	\N	\N	CS	Y	CS000104	\N
86	91	\N	\N	LO	Y	LO457200	\N
87	92	\N	\N	HX	Y	HX020200	\N
88	93	\N	\N	LO	Y	LO048300	\N
89	94	\N	\N	GW	Y	GW127600	\N
90	95	\N	\N	CS	Y	CS000204	\N
91	96	\N	\N	CS	Y	CS000202	\N
92	97	\N	\N	CS	Y	CS000402	\N
93	98	\N	\N	CS	Y	CS000401	\N
94	99	\N	\N	CS	Y	CS000201	\N
95	100	\N	\N	CS	Y	CS000107	\N
96	101	\N	\N	CS	Y	CS000102	\N
97	102	\N	\N	CS	Y	CS000104	\N
98	103	\N	\N	HX	Y	HX020200	\N
99	104	\N	\N	CS	Y	CS000204	\N
100	105	\N	\N	CS	Y	CS000202	\N
101	106	\N	\N	CS	Y	CS000402	\N
102	107	\N	\N	CS	Y	CS000401	\N
103	108	\N	\N	CS	Y	CS000201	\N
104	109	\N	\N	CS	Y	CS000107	\N
105	110	\N	\N	CS	Y	CS000102	\N
106	111	\N	\N	CS	Y	CS000104	\N
107	112	\N	\N	HX	Y	HX020200	\N
108	114	\N	\N	CS	Y	CS000204	\N
109	115	\N	\N	CS	Y	CS000202	\N
110	116	\N	\N	CS	Y	CS000402	\N
111	117	\N	\N	CS	Y	CS000401	\N
112	118	\N	\N	CS	Y	CS000201	\N
113	119	\N	\N	CS	Y	CS000107	\N
114	120	\N	\N	CS	Y	CS000102	\N
115	121	\N	\N	CS	Y	CS000104	\N
116	122	\N	\N	GW	Y	GW127600	\N
117	123	\N	\N	CS	Y	CS000402	\N
118	124	\N	\N	CS	Y	CS000401	\N
119	127	\N	\N	GW	Y	GW127600	\N
120	128	\N	\N	HX	Y	HX020200	\N
121	131	\N	\N	HX	Y	HX020200	\N
122	132	\N	\N	GW	Y	GW127600	\N
123	133	\N	\N	HX	Y	HX020200	\N
124	134	\N	\N	GW	Y	GW127600	\N
