id	stop	location	suffix	train_category	train_identity	headcode	course_indicator	profit_center	business_sector	power_type	timing_load	speed	operating_chars	train_class	sleepers	reservations	connect_indicator	catering_code	service_branding	traction_class	uic_code	retail_train_id
1	16	DALS	\N	OO	9I89	\N	1	22218000	\N	EMU	378	075	D	S	\N	\N	\N	\N	\N	\N	\N	LO048300
2	243	CRSTRS	\N	XZ	1M11	0004	1	23556003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000403
3	352	EDINBUR	\N	XZ	1M16	0002	1	23558003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000207
4	516	EDINBUR	\N	XZ	1S25	0001	1	23558003	1	D	385	125	R	S	B	A	\N	R	\N	\N	\N	CS000101
5	637	DALS	\N	OO	9I87	\N	1	22218000	\N	EMU	378	075	D	S	\N	\N	\N	\N	\N	\N	\N	LO457200
6	915	CRSTRS	\N	XZ	1M11	0004	1	23556003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000403
7	1024	EDINBUR	\N	XZ	1M16	0002	1	23558003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000207
8	1187	EDINBUR	\N	XZ	1S25	0001	1	23558003	1	D	385	125	R	S	B	A	\N	R	\N	\N	\N	CS000101
9	1413	CRSTRS	\N	XZ	1M11	0004	1	23556003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000403
10	1525	EDINBUR	\N	XZ	1M16	0002	1	23558003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000207
11	1689	EDINBUR	\N	XZ	1S25	0001	1	23558003	1	D	385	125	R	S	B	A	\N	R	\N	\N	\N	CS000101
12	1915	CRSTRS	\N	XZ	1M11	0004	1	23556003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000403
13	2030	EDINBUR	\N	XZ	1M16	0002	1	23558003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000207
14	2197	EDINBUR	\N	XZ	1S25	0001	1	23558003	1	D	385	125	R	S	B	A	\N	R	\N	\N	\N	CS000101
15	2503	CRSTRS	\N	XZ	1M11	0004	1	23556003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000403
16	2617	EDINBUR	\N	XZ	1M16	0002	1	23558003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000207
17	2780	EDINBUR	\N	XZ	1S25	0001	1	23558003	1	D	385	125	R	S	B	A	\N	R	\N	\N	\N	CS000101
18	3009	CRSTRS	\N	XZ	1M11	0004	1	23556003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000403
19	3122	EDINBUR	\N	XZ	1M16	0002	1	23558003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000207
20	3286	EDINBUR	\N	XZ	1S25	0001	1	23558003	1	D	385	125	R	S	B	A	\N	R	\N	\N	\N	CS000101
21	3599	CRSTRS	\N	XZ	1M11	0004	1	23556003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000403
22	3713	EDINBUR	\N	XZ	1M16	0002	1	23558003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000207
23	3877	EDINBUR	\N	XZ	1S25	0001	1	23558003	1	D	385	125	R	S	B	A	\N	R	\N	\N	\N	CS000101
24	4165	CRSTRS	\N	XZ	1M11	0004	1	23556003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000403
25	4274	EDINBUR	\N	XZ	1M16	0002	1	23558003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000207
26	4438	EDINBUR	\N	XZ	1S25	0001	1	23558003	1	D	385	125	R	S	B	A	\N	R	\N	\N	\N	CS000101
27	4559	DALS	\N	OO	9I87	\N	1	22218000	\N	EMU	378	075	D	S	\N	\N	\N	\N	\N	\N	\N	LO457200
28	4587	DALS	\N	OO	9I89	\N	1	22218000	\N	EMU	378	075	D	S	\N	\N	\N	\N	\N	\N	\N	LO048300
29	4778	CRSTRS	\N	XZ	1M11	0004	1	23556003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000403
30	4889	EDINBUR	\N	XZ	1M16	0002	1	23558003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000207
31	5055	EDINBUR	\N	XZ	1S25	0001	1	23558003	1	D	385	125	R	S	B	A	\N	R	\N	\N	\N	CS000101
32	5280	CRSTRS	\N	XZ	1M11	0004	1	23556003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000403
33	5389	EDINBUR	\N	XZ	1M16	0002	1	23558003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000207
34	5553	EDINBUR	\N	XZ	1S25	0001	1	23558003	1	D	385	125	R	S	B	A	\N	R	\N	\N	\N	CS000101
35	5779	CRSTRS	\N	XZ	1M11	0004	1	23556003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000403
36	5892	EDINBUR	\N	XZ	1M16	0002	1	23558003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000207
37	6056	EDINBUR	\N	XZ	1S25	0001	1	23558003	1	D	385	125	R	S	B	A	\N	R	\N	\N	\N	CS000101
38	6273	CRSTRS	\N	XZ	1M11	0004	1	23556003	1	E	92	080	R	S	B	A	\N	R	\N	\N	\N	CS000403
