id	schedule	location	suffix	scheduled_arrival_time	scheduled_departure_time	scheduled_pass_time	public_arrival_time	public_departure_time	platform	line	path	activity	engineering_allowance	pathing_allowance	performance_allowance
1	1	HTRWTM5	\N	\N	23:12:00	\N	\N	23:12:00	4	\N	\N	TB          	\N	\N	\N
2	1	HTRWAPT	\N	23:15:30	23:19:00	\N	23:16:00	23:19:00	2	\N	\N	T           	\N	\N	\N
3	1	HTRWTJN	\N	\N	\N	23:22:00	\N	\N	\N	\N	\N	            	\N	\N	\N
4	1	STKYJN	\N	\N	\N	23:22:30	\N	\N	\N	RL	\N	            	\N	\N	\N
5	1	HTRWAJN	\N	\N	\N	23:23:00	\N	\N	\N	RL	\N	            	\N	\N	\N
6	1	STHALL	\N	\N	\N	23:24:30	\N	\N	4	RL	\N	            	\N	\N	\N
7	1	WEALING	\N	\N	\N	23:26:30	\N	\N	4	RL	\N	            	\N	 H	\N
8	1	ACTONW	\N	\N	\N	23:28:00	\N	\N	\N	RL	RL	            	1	1H	\N
9	1	LDBRKJ	\N	\N	\N	23:33:30	\N	\N	\N	6	RL	            	\N	\N	\N
10	1	PRTOBJP	\N	\N	\N	23:34:00	\N	\N	\N	5	\N	            	\N	\N	\N
11	1	ROYAOJN	\N	\N	\N	23:35:00	\N	\N	\N	6	\N	            	\N	\N	\N
12	1	PADTON	\N	23:36:00	\N	\N	23:36:00	\N	10	\N	\N	TF          	\N	\N	\N
13	2	HIGHBYE	\N	\N	00:11:00	\N	\N	00:11:00	2	\N	\N	TB          	\N	\N	\N
14	2	CNNBELL	\N	00:12:30	00:13:00	\N	00:13:00	00:13:00	2	\N	\N	T           	\N	\N	\N
15	2	ELLBNLL	\N	\N	\N	00:13:30	\N	\N	\N	\N	\N	            	\N	\N	\N
16	2	DALS	\N	00:15:00	00:16:00	\N	00:15:00	00:16:00	4	\N	\N	T           	\N	\N	\N
17	2	HAGGERS	\N	00:17:30	00:18:00	\N	00:18:00	00:18:00	2	\N	\N	T           	\N	\N	\N
18	2	HOXTON	\N	00:19:30	00:20:00	\N	00:20:00	00:20:00	2	\N	\N	T           	\N	\N	\N
19	2	SHRDHST	\N	00:22:00	00:22:30	\N	00:22:00	00:22:00	2	\N	\N	T           	\N	\N	\N
20	2	WCHAPEL	\N	00:24:00	00:25:00	\N	00:24:00	00:25:00	6	\N	\N	T           	\N	\N	\N
21	2	SHADWEL	\N	00:26:30	00:27:00	\N	00:27:00	00:27:00	2	\N	\N	T           	\N	\N	\N
22	2	WAPPING	\N	00:28:30	00:29:00	\N	00:29:00	00:29:00	2	\N	\N	T           	\N	\N	\N
23	2	RTHERHI	\N	00:30:00	00:30:30	\N	00:30:00	00:30:00	2	\N	\N	T           	\N	\N	\N
