id	tiploc_code	capitals	nalco	nlc_check_character	tps_description	stanox	po_mcp_code	crs_code	description
1	ABINGTN	00	969700	F	ABINGTON	07972	0	\N	\N
2	ABRD222	00	897604	K	NEWTONHILL SIG A222	02085	0	\N	\N
3	ABRD223	00	897605	L	NEWTONHILL SIG A223	02087	0	\N	\N
4	ABRD229	00	897689	Q	ABERDEEN A229 SIGNAL	02092	0	\N	\N
5	ABRD230	00	897687	X	ABERDEEN A230 SIGNAL	02091	0	\N	\N
6	ABRD55	00	897685	M	ABERDEEN A55 SIGNAL	02089	0	\N	\N
7	ABRD56	00	897686	N	ABERDEEN A56 SIGNAL	02090	0	\N	\N
8	ABRDEEN	00	897600	G	ABERDEEN	02071	2800	ABD	ABERDEEN
9	ABRDFJN	56	897662	D	ABERDEEN FERRYHILL JN	02082	0	\N	\N
10	ACBG	02	228700	B	ACTON BRIDGE	37001	0	ACB	ACTON BRIDGE
11	ACGJN	06	238401	U	ACTON GRANGE JN	35555	0	\N	\N
12	ACHNGRY	00	970415	P	AUCHENGRAY	04120	0	\N	\N
13	ACTONW	16	300058	Q	ACTON WEST	73251	0	\N	\N
14	AIRDRIE	00	975900	U	AIRDRIE	07327	0	ADR	AIRDRIE
15	AIRP	00	884500	P	AIRPORT (NEWCASTLE)	12401	0	APN	\N
16	AISHXO	00	355550	W	AISH EMERGENCY CROSSOVER	84060	0	\N	\N
17	AMNGTNJ	00	132350	U	AMINGTON JUNCTION	69003	0	XIM	\N
18	ANSL	00	997200	V	ANNIESLAND	06222	0	ANL	ANNIESLAND
19	ARBROTH	00	907900	E	ARBROATH	03023	0	ARB	ARBROATH
20	ARCHRAT	32	996300	T	ARROCHAR & TARBET	06101	0	ART	ARROCHAR & TAR
21	ARDLUI	00	996200	P	ARDLUI	06059	0	AUI	ARDLUI
22	ASTON	00	100400	K	ASTON	65651	0	AST	ASTON
23	ATHLNEY	00	347195	W	ATHELNEY CROSSING	82307	0	\N	\N
