id	train_uid	runs_from	runs_to	monday	tuesday	wednesday	thursday	friday	saturday	sunday	bank_holiday_running	train_status	train_category	train_identity	headcode	course_indicator	profit_center	business_sector	power_type	timing_load	speed	operating_chars	train_class	sleepers	reservations	connect_indicator	catering_code	service_branding	stp_indicator
1	Z01401	2026-04-07	2026-05-02	1	1	1	1	1	0	0	0	S	SS	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
2	Z01401	2026-05-05	2026-05-23	1	1	1	1	1	0	0	0	S	SS	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
3	Z01401	2026-05-26	2026-08-29	1	1	1	1	1	0	0	0	S	SS	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
4	Z01401	2026-09-01	2026-11-02	1	1	1	1	1	0	0	0	S	SS	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
5	Z01501	2026-04-07	2026-05-01	1	1	1	1	1	0	0	0	B	BS	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
6	Z01501	2026-05-05	2026-05-22	1	1	1	1	1	0	0	0	B	BS	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
7	Z01501	2026-05-26	2026-07-31	1	1	1	1	1	0	0	0	B	BS	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
8	Z01501	2026-08-04	2026-08-28	1	1	1	1	1	0	0	0	B	BS	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
9	Z01501	2026-09-01	2026-11-30	1	1	1	1	1	0	0	0	B	BS	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
10	Z08001	2021-01-03	2026-12-31	0	0	0	0	0	0	1	0	P	XX	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
11	Z08001	2021-01-04	2026-12-31	1	1	1	1	1	1	0	0	P	XX	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
12	Z08021	2025-04-18	2025-04-19	0	0	0	0	1	1	0	0	P	OO	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
13	Z08021	2025-04-20	2025-04-20	0	0	0	0	0	0	1	0	P	OO	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
14	Z08021	2025-04-21	2025-04-26	1	0	0	0	0	1	0	0	P	OO	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
15	Z08021	2025-04-27	2025-04-27	0	0	0	0	0	0	1	0	P	OO	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
16	Z08021	2025-05-18	2025-05-18	0	0	0	0	0	0	1	0	P	OO	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
17	Z08021	2026-05-01	2026-05-09	0	0	0	0	1	1	0	0	P	OO	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
18	Z08021	2026-05-03	2026-05-04	1	0	0	0	0	0	0	0	P	OO	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
19	Z08021	2026-05-16	2026-11-07	0	0	0	0	0	1	0	0	P	OO	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
20	Z08021	2026-05-22	2026-10-30	0	0	0	0	1	0	0	0	P	OO	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
21	Z08021	2026-05-25	2026-05-25	1	0	0	0	0	0	0	0	P	OO	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
22	Z08021	2026-05-28	2026-05-28	0	0	0	1	0	0	0	0	P	OO	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
23	Z08021	2026-07-02	2026-07-09	0	0	0	1	0	0	0	0	P	OO	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
24	Z08021	2026-07-05	2026-07-26	1	0	0	0	0	0	0	0	P	OO	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
25	Z08021	2026-08-06	2026-09-24	0	0	0	1	0	0	0	0	P	OO	\N	\N	\N	\N	\N	\N	\N	\N	\N	S	\N	\N	\N	\N	\N	P
26	Z08101	2026-01-11	2026-02-15	0	0	0	0	0	0	1	0	P	OL	\N	\N	\N	\N	\N	EMU	\N	\N	\N	S	\N	\N	\N	\N	\N	P
27	Z08101	2026-01-12	2026-02-18	1	1	1	1	1	0	0	0	P	OL	\N	\N	\N	\N	\N	EMU	\N	\N	\N	S	\N	\N	\N	\N	\N	P
28	Z08101	2026-01-17	2026-02-14	0	0	0	0	0	1	0	0	P	OL	\N	\N	\N	\N	\N	EMU	\N	\N	\N	S	\N	\N	\N	\N	\N	P
