id	z_schedule	location	scheduled_arrival_time	scheduled_departure_time	scheduled_pass_time	public_arrival_time	public_departure_time	platform	line	path	activity	engineering_allowance	pathing_allowance	performance_allowance
1	1	STQ	\N	05:30:00	\N	\N	05:30:00	\N	\N	\N	TB          	\N	\N	\N
2	1	WTW	05:58:00	06:05:00	\N	05:58:00	06:05:00	\N	\N	\N	T           	\N	\N	\N
3	1	STQ	06:33:00	\N	\N	06:33:00	\N	\N	\N	\N	TF          	\N	\N	\N
4	2	STQ	\N	05:30:00	\N	\N	05:30:00	\N	\N	\N	TB          	\N	\N	\N
5	2	WTW	05:58:00	06:05:00	\N	05:58:00	06:05:00	\N	\N	\N	T           	\N	\N	\N
6	2	STQ	06:33:00	\N	\N	06:33:00	\N	\N	\N	\N	TF          	\N	\N	\N
7	3	STQ	\N	05:30:00	\N	\N	05:30:00	\N	\N	\N	TB          	\N	\N	\N
8	3	WTW	05:58:00	06:05:00	\N	05:58:00	06:05:00	\N	\N	\N	T           	\N	\N	\N
9	3	STQ	06:33:00	\N	\N	06:33:00	\N	\N	\N	\N	TF          	\N	\N	\N
10	4	STQ	\N	05:30:00	\N	\N	05:30:00	\N	\N	\N	TB          	\N	\N	\N
11	4	WTW	05:58:00	06:05:00	\N	05:58:00	06:05:00	\N	\N	\N	T           	\N	\N	\N
12	4	STQ	06:33:00	\N	\N	06:33:00	\N	\N	\N	\N	TF          	\N	\N	\N
13	5	STQ	\N	06:37:00	\N	\N	06:37:00	\N	\N	\N	TB          	\N	\N	\N
14	5	SOU	06:47:00	06:55:00	\N	06:47:00	06:55:00	\N	\N	\N	T           	\N	\N	\N
15	5	STQ	07:05:00	\N	\N	07:05:00	\N	\N	\N	\N	TF          	\N	\N	\N
16	6	STQ	\N	06:37:00	\N	\N	06:37:00	\N	\N	\N	TB          	\N	\N	\N
17	6	SOU	06:47:00	06:55:00	\N	06:47:00	06:55:00	\N	\N	\N	T           	\N	\N	\N
18	6	STQ	07:05:00	\N	\N	07:05:00	\N	\N	\N	\N	TF          	\N	\N	\N
19	7	STQ	\N	06:37:00	\N	\N	06:37:00	\N	\N	\N	TB          	\N	\N	\N
20	7	SOU	06:47:00	06:55:00	\N	06:47:00	06:55:00	\N	\N	\N	T           	\N	\N	\N
21	7	STQ	07:05:00	\N	\N	07:05:00	\N	\N	\N	\N	TF          	\N	\N	\N
22	8	STQ	\N	06:37:00	\N	\N	06:37:00	\N	\N	\N	TB          	\N	\N	\N
23	8	SOU	06:47:00	06:55:00	\N	06:47:00	06:55:00	\N	\N	\N	T           	\N	\N	\N
24	8	STQ	07:05:00	\N	\N	07:05:00	\N	\N	\N	\N	TF          	\N	\N	\N
25	9	STQ	\N	06:37:00	\N	\N	06:37:00	\N	\N	\N	TB          	\N	\N	\N
26	9	SOU	06:47:00	06:55:00	\N	06:47:00	06:55:00	\N	\N	\N	T           	\N	\N	\N
27	9	STQ	07:05:00	\N	\N	07:05:00	\N	\N	\N	\N	TF          	\N	\N	\N
28	10	QXO	\N	09:30:00	\N	\N	09:30:00	\N	\N	\N	TB          	\N	\N	\N
29	10	QXD	23:59:00	\N	\N	23:59:00	\N	\N	\N	\N	TF          	\N	\N	\N
30	11	QXO	\N	09:30:00	\N	\N	09:30:00	\N	\N	\N	TB          	\N	\N	\N
31	11	QXD	23:59:00	\N	\N	23:59:00	\N	\N	\N	\N	TF          	\N	\N	\N
32	12	WIR	\N	10:50:00	\N	\N	10:50:00	\N	\N	\N	TB          	\N	\N	\N
33	12	XID	11:10:00	11:10:00	\N	11:10:00	11:10:00	\N	\N	\N	T           	\N	\N	\N
34	12	SHX	11:16:00	11:16:00	\N	11:16:00	11:16:00	\N	\N	\N	T           	\N	\N	\N
35	12	DFI	11:28:00	11:50:00	\N	11:28:00	11:50:00	\N	\N	\N	T           	\N	\N	\N
36	12	SHX	12:03:00	12:03:00	\N	12:03:00	12:03:00	\N	\N	\N	T           	\N	\N	\N
37	12	XID	12:11:00	12:11:00	\N	12:11:00	12:11:00	\N	\N	\N	T           	\N	\N	\N
38	12	WIR	12:30:00	\N	\N	12:30:00	\N	\N	\N	\N	TF          	\N	\N	\N
39	13	WIR	\N	10:50:00	\N	\N	10:50:00	\N	\N	\N	TB          	\N	\N	\N
40	13	XID	11:10:00	11:10:00	\N	11:10:00	11:10:00	\N	\N	\N	T           	\N	\N	\N
41	13	SHX	11:16:00	11:16:00	\N	11:16:00	11:16:00	\N	\N	\N	T           	\N	\N	\N
42	13	DFI	11:28:00	11:50:00	\N	11:28:00	11:50:00	\N	\N	\N	T           	\N	\N	\N
43	13	SHX	12:03:00	12:03:00	\N	12:03:00	12:03:00	\N	\N	\N	T           	\N	\N	\N
44	13	XID	12:11:00	12:11:00	\N	12:11:00	12:11:00	\N	\N	\N	T           	\N	\N	\N
45	13	WIR	12:30:00	\N	\N	12:30:00	\N	\N	\N	\N	TF          	\N	\N	\N
46	14	WIR	\N	10:50:00	\N	\N	10:50:00	\N	\N	\N	TB          	\N	\N	\N
47	14	XID	11:10:00	11:10:00	\N	11:10:00	11:10:00	\N	\N	\N	T           	\N	\N	\N
48	14	SHX	11:16:00	11:16:00	\N	11:16:00	11:16:00	\N	\N	\N	T           	\N	\N	\N
49	14	DFI	11:28:00	11:50:00	\N	11:28:00	11:50:00	\N	\N	\N	T           	\N	\N	\N
50	14	SHX	12:03:00	12:03:00	\N	12:03:00	12:03:00	\N	\N	\N	T           	\N	\N	\N
51	14	XID	12:11:00	12:11:00	\N	12:11:00	12:11:00	\N	\N	\N	T           	\N	\N	\N
52	14	WIR	12:30:00	\N	\N	12:30:00	\N	\N	\N	\N	TF          	\N	\N	\N
53	15	WIR	\N	10:50:00	\N	\N	10:50:00	\N	\N	\N	TB          	\N	\N	\N
54	15	XID	11:10:00	11:10:00	\N	11:10:00	11:10:00	\N	\N	\N	T           	\N	\N	\N
55	15	SHX	11:16:00	11:16:00	\N	11:16:00	11:16:00	\N	\N	\N	T           	\N	\N	\N
56	15	DFI	11:28:00	11:50:00	\N	11:28:00	11:50:00	\N	\N	\N	T           	\N	\N	\N
57	15	SHX	12:03:00	12:03:00	\N	12:03:00	12:03:00	\N	\N	\N	T           	\N	\N	\N
58	15	XID	12:11:00	12:11:00	\N	12:11:00	12:11:00	\N	\N	\N	T           	\N	\N	\N
59	15	WIR	12:30:00	\N	\N	12:30:00	\N	\N	\N	\N	TF          	\N	\N	\N
60	16	WIR	\N	10:50:00	\N	\N	10:50:00	\N	\N	\N	TB          	\N	\N	\N
61	16	XID	11:10:00	11:10:00	\N	11:10:00	11:10:00	\N	\N	\N	T           	\N	\N	\N
62	16	SHX	11:16:00	11:16:00	\N	11:16:00	11:16:00	\N	\N	\N	T           	\N	\N	\N
63	16	DFI	11:28:00	11:50:00	\N	11:28:00	11:50:00	\N	\N	\N	T           	\N	\N	\N
64	16	SHX	12:03:00	12:03:00	\N	12:03:00	12:03:00	\N	\N	\N	T           	\N	\N	\N
65	16	XID	12:11:00	12:11:00	\N	12:11:00	12:11:00	\N	\N	\N	T           	\N	\N	\N
66	16	WIR	12:30:00	\N	\N	12:30:00	\N	\N	\N	\N	TF          	\N	\N	\N
67	17	WIR	\N	10:15:00	\N	\N	10:15:00	\N	\N	\N	TB          	\N	\N	\N
68	17	XID	10:35:00	10:35:00	\N	10:35:00	10:35:00	\N	\N	\N	T           	\N	\N	\N
69	17	SHX	10:41:00	10:41:00	\N	10:41:00	10:41:00	\N	\N	\N	T           	\N	\N	\N
70	17	DFI	10:53:00	11:15:00	\N	10:53:00	11:15:00	\N	\N	\N	T           	\N	\N	\N
71	17	SHX	11:29:00	11:29:00	\N	11:29:00	11:29:00	\N	\N	\N	T           	\N	\N	\N
72	17	XID	11:37:00	11:37:00	\N	11:37:00	11:37:00	\N	\N	\N	T           	\N	\N	\N
73	17	WIR	11:56:00	\N	\N	11:56:00	\N	\N	\N	\N	TF          	\N	\N	\N
74	18	WIR	\N	10:15:00	\N	\N	10:15:00	\N	\N	\N	TB          	\N	\N	\N
75	18	XID	10:35:00	10:35:00	\N	10:35:00	10:35:00	\N	\N	\N	T           	\N	\N	\N
76	18	SHX	10:41:00	10:41:00	\N	10:41:00	10:41:00	\N	\N	\N	T           	\N	\N	\N
77	18	DFI	10:53:00	11:15:00	\N	10:53:00	11:15:00	\N	\N	\N	T           	\N	\N	\N
78	18	SHX	11:29:00	11:29:00	\N	11:29:00	11:29:00	\N	\N	\N	T           	\N	\N	\N
79	18	XID	11:37:00	11:37:00	\N	11:37:00	11:37:00	\N	\N	\N	T           	\N	\N	\N
80	18	WIR	11:56:00	\N	\N	11:56:00	\N	\N	\N	\N	TF          	\N	\N	\N
81	19	WIR	\N	10:15:00	\N	\N	10:15:00	\N	\N	\N	TB          	\N	\N	\N
82	19	XID	10:35:00	10:35:00	\N	10:35:00	10:35:00	\N	\N	\N	T           	\N	\N	\N
83	19	SHX	10:41:00	10:41:00	\N	10:41:00	10:41:00	\N	\N	\N	T           	\N	\N	\N
84	19	DFI	10:53:00	11:15:00	\N	10:53:00	11:15:00	\N	\N	\N	T           	\N	\N	\N
85	19	SHX	11:29:00	11:29:00	\N	11:29:00	11:29:00	\N	\N	\N	T           	\N	\N	\N
86	19	XID	11:37:00	11:37:00	\N	11:37:00	11:37:00	\N	\N	\N	T           	\N	\N	\N
87	19	WIR	11:56:00	\N	\N	11:56:00	\N	\N	\N	\N	TF          	\N	\N	\N
88	20	WIR	\N	10:15:00	\N	\N	10:15:00	\N	\N	\N	TB          	\N	\N	\N
89	20	XID	10:35:00	10:35:00	\N	10:35:00	10:35:00	\N	\N	\N	T           	\N	\N	\N
90	20	SHX	10:41:00	10:41:00	\N	10:41:00	10:41:00	\N	\N	\N	T           	\N	\N	\N
91	20	DFI	10:53:00	11:15:00	\N	10:53:00	11:15:00	\N	\N	\N	T           	\N	\N	\N
92	20	SHX	11:29:00	11:29:00	\N	11:29:00	11:29:00	\N	\N	\N	T           	\N	\N	\N
93	20	XID	11:37:00	11:37:00	\N	11:37:00	11:37:00	\N	\N	\N	T           	\N	\N	\N
94	20	WIR	11:56:00	\N	\N	11:56:00	\N	\N	\N	\N	TF          	\N	\N	\N
95	21	WIR	\N	10:15:00	\N	\N	10:15:00	\N	\N	\N	TB          	\N	\N	\N
96	21	XID	10:35:00	10:35:00	\N	10:35:00	10:35:00	\N	\N	\N	T           	\N	\N	\N
97	21	SHX	10:41:00	10:41:00	\N	10:41:00	10:41:00	\N	\N	\N	T           	\N	\N	\N
98	21	DFI	10:53:00	11:15:00	\N	10:53:00	11:15:00	\N	\N	\N	T           	\N	\N	\N
99	21	SHX	11:29:00	11:29:00	\N	11:29:00	11:29:00	\N	\N	\N	T           	\N	\N	\N
100	21	XID	11:37:00	11:37:00	\N	11:37:00	11:37:00	\N	\N	\N	T           	\N	\N	\N
